order_id,customer_id,product_id,order_date,quantity,unit_price,total_amount,region,status
45,4151,95,2023-06-25,1,31,31,Asia Pacific,completed
46,3229,11,2024-12-16,4,505,2020,Europe,completed
47,2111,129,2024-06-07,1,69,69,Asia Pacific,completed
48,4363,111,2023-08-24,4,264,1056,North America,processing
49,4069,110,2023-12-16,4,215,860,North America,processing
50,1712,145,2023-12-30,5,133,665,Latin America,completed
51,3431,145,2023-05-22,2,133,266,North America,completed
52,755,105,2023-04-28,5,90,450,Asia Pacific,completed
53,1534,173,2023-02-27,3,43,129,Europe,returned
54,2277,34,2024-05-16,3,921,2763,Latin America,completed
55,840,139,2024-10-19,5,91,455,Europe,returned
56,3959,6,2023-01-30,3,532,1596,Asia Pacific,shipped
57,1187,130,2024-06-19,1,116,116,North America,completed
58,1088,38,2023-02-18,5,885,4425,Europe,processing
59,2494,109,2023-02-02,1,210,210,Europe,processing
60,1182,102,2023-09-16,2,187,374,Latin America,shipped
61,2508,120,2024-02-28,4,140,560,Europe,shipped
62,1256,148,2024-05-06,2,25,50,Latin America,shipped
63,212,53,2024-01-28,4,107,428,Latin America,returned
64,4993,56,2024-07-12,3,263,789,North America,shipped
65,46,195,2024-02-11,4,40,160,Asia Pacific,shipped
66,2269,28,2023-04-27,3,567,1701,North America,completed
67,87,124,2023-03-06,4,142,568,North America,completed
68,3585,25,2023-06-19,5,1293,6465,Asia Pacific,completed
69,3853,122,2023-03-09,2,16,32,Latin America,completed
70,3164,162,2024-07-03,2,22,44,Europe,completed
71,4768,97,2023-11-25,3,84,252,Asia Pacific,completed
72,81,191,2024-12-11,5,17,85,North America,completed
73,3308,23,2024-06-29,1,397,397,Asia Pacific,returned
74,1935,196,2024-08-18,2,31,62,Latin America,shipped
75,3802,199,2023-01-31,3,34,102,Latin America,completed
76,3334,11,2024-02-10,5,505,2525,Europe,completed
77,1724,18,2024-02-28,4,176,704,Asia Pacific,processing
78,1187,177,2023-06-10,1,35,35,Asia Pacific,shipped
79,4497,24,2023-12-30,3,240,720,North America,completed
80,1848,171,2024-03-24,4,17,68,Latin America,returned
81,3265,116,2024-01-06,1,209,209,Latin America,completed
82,3917,60,2023-02-08,4,207,828,Asia Pacific,completed
83,4333,55,2023-10-27,4,115,460,Europe,completed
84,1943,143,2023-06-18,5,17,85,Europe,completed
85,1028,107,2024-11-13,1,124,124,Europe,returned
86,2138,97,2024-11-27,5,84,420,Latin America,processing
87,3364,175,2024-11-06,4,24,96,Asia Pacific,processing
88,2843,164,2023-10-08,2,19,38,Latin America,returned
89,3071,67,2024-07-29,4,144,576,Europe,shipped
90,2132,71,2024-07-08,3,78,234,North America,completed
91,107,40,2024-11-25,5,1875,9375,North America,completed
92,549,97,2024-07-16,5,84,420,Asia Pacific,returned
93,2780,96,2024-01-24,3,137,411,Asia Pacific,completed
94,4890,67,2024-12-13,1,144,144,North America,completed
95,3152,50,2023-01-22,1,222,222,Latin America,completed
96,4148,94,2024-03-26,5,258,1290,Asia Pacific,completed
97,879,195,2024-09-21,5,40,200,Europe,completed
98,4407,50,2024-02-12,1,222,222,North America,completed
99,2152,194,2023-11-16,3,13,39,North America,completed
100,2635,137,2023-12-30,1,248,248,Asia Pacific,completed
101,3361,106,2023-11-17,5,165,825,North America,processing
102,341,99,2023-08-12,4,246,984,North America,completed
103,1645,36,2023-04-04,2,68,136,Europe,completed
104,3811,159,2023-07-24,5,64,320,Latin America,shipped
105,2931,59,2023-03-05,1,296,296,Latin America,returned
106,4501,63,2024-02-21,4,170,680,Asia Pacific,completed
107,3929,142,2024-10-06,2,255,510,Asia Pacific,completed
108,266,59,2024-08-26,1,296,296,Asia Pacific,returned
109,936,5,2023-11-01,2,1806,3612,Latin America,completed
110,353,81,2023-11-14,1,21,21,Latin America,returned
111,1409,176,2023-05-02,1,9,9,Asia Pacific,completed
112,595,89,2024-08-23,3,40,120,North America,shipped
113,3866,70,2024-11-08,4,188,752,Latin America,completed
114,292,4,2023-11-05,5,551,2755,North America,shipped
115,2650,179,2024-09-27,4,27,108,Latin America,completed
116,2405,51,2023-08-11,5,154,770,Asia Pacific,shipped
117,3032,194,2024-10-15,1,13,13,North America,processing
118,1122,187,2024-05-02,5,41,205,North America,completed
119,1726,128,2024-09-07,5,77,385,Europe,processing
120,3115,100,2024-06-01,4,203,812,Europe,shipped
121,809,105,2024-11-18,3,90,270,North America,completed
122,4498,44,2023-08-01,2,111,222,Europe,completed
123,822,90,2023-08-23,2,292,584,Asia Pacific,completed
124,2097,188,2024-05-16,4,34,136,Latin America,shipped
125,4834,120,2024-10-17,4,140,560,Latin America,shipped
126,813,134,2024-10-13,2,33,66,Latin America,completed
127,3910,10,2024-07-06,2,956,1912,North America,returned
128,3301,194,2023-09-13,1,13,13,Asia Pacific,returned
129,1393,56,2024-04-25,1,263,263,Europe,processing
130,3668,36,2024-07-12,1,68,68,Asia Pacific,returned
131,1400,148,2024-09-21,2,25,50,North America,returned
132,2456,98,2023-02-15,3,193,579,Asia Pacific,completed
133,4385,84,2023-06-24,3,268,804,North America,completed
134,791,94,2024-11-29,3,258,774,Latin America,processing
135,3814,58,2023-11-23,4,71,284,Latin America,completed
136,4407,152,2023-01-25,1,34,34,Latin America,shipped
137,4886,113,2024-03-09,4,223,892,North America,returned
138,3883,21,2023-07-12,3,1992,5976,North America,completed
139,779,96,2023-01-06,3,137,411,Latin America,completed
140,3282,88,2023-12-23,4,245,980,Asia Pacific,returned
141,632,69,2024-01-09,3,230,690,Asia Pacific,shipped
142,1171,45,2024-08-17,1,104,104,Latin America,completed
143,2888,64,2024-11-06,4,59,236,Asia Pacific,completed
144,1572,130,2023-02-21,5,116,580,Asia Pacific,shipped
145,360,32,2024-04-02,4,1137,4548,North America,completed
146,4777,73,2024-07-24,1,195,195,Latin America,processing
147,4288,56,2023-01-10,5,263,1315,Asia Pacific,completed
148,3214,41,2024-12-03,5,249,1245,Europe,completed
149,816,123,2024-06-07,1,71,71,North America,shipped
150,1423,109,2024-09-24,2,210,420,Asia Pacific,completed
151,973,180,2023-10-22,3,15,45,North America,shipped
152,3654,170,2023-12-25,2,34,68,Europe,completed
153,4724,173,2024-05-30,4,43,172,Asia Pacific,completed
154,2756,126,2023-06-11,4,212,848,Asia Pacific,completed
155,3732,137,2024-10-15,2,248,496,Europe,completed
156,4062,14,2023-03-28,3,721,2163,Latin America,completed
157,1105,33,2024-06-29,5,649,3245,North America,completed
158,319,52,2024-08-20,4,126,504,Europe,completed
159,4451,23,2024-08-22,4,397,1588,Latin America,completed
160,2211,14,2024-06-14,2,721,1442,Asia Pacific,completed
161,3949,125,2024-02-10,4,106,424,North America,completed
162,3167,88,2024-04-02,3,245,735,Asia Pacific,completed
163,3947,90,2023-09-06,3,292,876,Latin America,completed
164,709,110,2024-12-29,1,215,215,Europe,completed
165,1919,154,2023-12-30,1,250,250,Latin America,completed
166,1599,174,2023-11-20,4,17,68,Europe,completed
167,2412,29,2024-02-13,5,959,4795,Latin America,processing
168,908,84,2024-09-29,3,268,804,Latin America,returned
169,4009,89,2023-08-06,1,40,40,Europe,shipped
170,3136,174,2023-08-03,5,17,85,Europe,completed
171,1994,51,2023-11-11,3,154,462,Asia Pacific,processing
172,3506,107,2023-05-10,1,124,124,Europe,completed
173,4087,184,2023-07-03,5,40,200,Europe,returned
174,869,88,2023-12-13,5,245,1225,North America,completed
175,1609,122,2024-08-20,5,16,80,Europe,returned
176,4949,165,2023-03-24,3,16,48,Latin America,completed
177,1270,83,2024-11-02,3,290,870,North America,completed
178,4126,120,2024-09-14,3,140,420,North America,processing
179,806,171,2023-02-09,3,17,51,Asia Pacific,shipped
180,1609,86,2024-09-16,4,170,680,Europe,completed
181,4614,72,2024-11-06,2,200,400,North America,shipped
182,3895,149,2024-09-25,1,156,156,North America,completed
183,4663,96,2023-04-11,3,137,411,Latin America,completed
184,4123,69,2024-03-15,3,230,690,North America,shipped
185,627,146,2024-01-11,3,34,102,North America,completed
186,3243,77,2023-02-22,4,124,496,Latin America,shipped
187,3650,116,2024-12-13,5,209,1045,Europe,completed
188,4092,60,2023-04-12,1,207,207,Asia Pacific,processing
189,882,27,2024-10-06,5,1969,9845,Latin America,completed
190,1121,122,2023-02-18,2,16,32,Latin America,shipped
191,2972,1,2023-10-02,2,50,100,Asia Pacific,completed
192,4234,8,2023-12-31,1,1697,1697,Asia Pacific,returned
193,2986,35,2023-07-30,2,172,344,Asia Pacific,completed
194,349,136,2023-06-23,2,235,470,Asia Pacific,completed
195,2048,189,2023-06-01,5,23,115,Europe,completed
196,4259,89,2024-12-30,2,40,80,Asia Pacific,completed
197,3708,169,2024-05-26,3,24,72,North America,shipped
198,196,139,2024-03-27,5,91,455,Asia Pacific,processing
199,1132,130,2024-02-02,3,116,348,Europe,returned
200,1996,15,2023-03-19,4,736,2944,Asia Pacific,completed
201,2308,6,2023-09-29,4,532,2128,North America,completed
202,3809,80,2024-06-30,5,224,1120,Asia Pacific,shipped
203,192,160,2023-04-04,2,264,528,Europe,processing
204,1403,34,2024-10-17,5,921,4605,Europe,completed
205,1286,21,2023-07-14,3,1992,5976,North America,shipped
206,2143,161,2024-08-16,2,15,30,North America,returned
207,2308,152,2023-02-17,3,34,102,Latin America,shipped
208,625,101,2023-06-13,2,84,168,Latin America,returned
209,150,47,2024-06-20,3,204,612,North America,completed
210,2342,115,2023-11-26,4,182,728,Latin America,completed
211,3377,18,2023-07-29,3,176,528,Europe,completed
212,674,186,2024-07-03,3,15,45,Asia Pacific,returned
213,3458,81,2024-12-02,3,21,63,Europe,completed
214,492,107,2024-02-29,4,124,496,Latin America,completed
215,2920,25,2023-03-30,5,1293,6465,Europe,shipped
216,261,125,2024-03-20,2,106,212,Latin America,shipped
217,1019,76,2023-02-04,1,168,168,North America,returned
218,2057,63,2023-07-20,3,170,510,Asia Pacific,processing
219,2153,42,2024-01-03,5,129,645,Latin America,completed
220,4071,132,2024-10-10,5,91,455,North America,processing
221,33,122,2023-07-11,2,16,32,Latin America,completed
222,2760,34,2024-11-25,4,921,3684,Asia Pacific,processing
223,2687,191,2024-03-21,3,17,51,Europe,shipped
224,2181,110,2023-10-04,3,215,645,North America,processing
225,3660,41,2024-03-14,4,249,996,Latin America,completed
226,991,76,2024-07-15,5,168,840,Latin America,processing
227,1503,100,2024-04-02,2,203,406,Latin America,shipped
228,1587,60,2024-08-14,2,207,414,Asia Pacific,processing
229,4568,194,2023-11-12,2,13,26,Latin America,completed
230,1222,73,2024-05-10,5,195,975,Asia Pacific,returned
231,990,136,2024-02-27,3,235,705,North America,completed
232,814,171,2023-06-06,1,17,17,Asia Pacific,completed
233,148,11,2023-02-26,3,505,1515,Latin America,completed
234,495,189,2023-10-29,4,23,92,North America,completed
235,4292,133,2023-02-24,1,245,245,North America,completed
236,1369,155,2023-02-23,3,92,276,North America,shipped
237,1339,5,2023-03-06,1,1806,1806,Latin America,completed
238,3127,47,2023-11-10,3,204,612,Latin America,returned
239,2494,92,2024-11-16,4,102,408,Latin America,processing
240,2975,152,2024-07-19,1,34,34,Latin America,completed
241,1171,40,2024-05-31,2,1875,3750,Asia Pacific,completed
242,4617,3,2023-11-22,4,1953,7812,Latin America,completed
243,2189,13,2023-11-05,3,1163,3489,Europe,shipped
244,1270,197,2023-01-24,4,15,60,North America,returned
245,2620,73,2024-11-06,5,195,975,Latin America,completed
246,845,191,2024-07-09,3,17,51,Latin America,completed
247,1019,80,2024-04-16,2,224,448,North America,returned
248,1404,157,2024-04-08,3,271,813,Latin America,returned
249,228,188,2024-05-10,4,34,136,Europe,completed
250,4474,105,2024-07-06,1,90,90,Latin America,shipped
251,4882,24,2023-04-04,4,240,960,Asia Pacific,completed
252,3663,58,2024-08-03,3,71,213,Latin America,shipped
253,1187,27,2024-06-11,4,1969,7876,Asia Pacific,completed
254,3274,148,2023-06-25,5,25,125,North America,returned
255,2650,146,2024-10-29,2,34,68,North America,shipped
256,1047,160,2024-04-21,2,264,528,Latin America,completed
257,2159,193,2023-10-25,2,37,74,North America,shipped
258,3164,88,2023-05-06,3,245,735,Europe,shipped
259,4391,78,2024-03-16,4,123,492,Asia Pacific,completed
260,755,13,2024-06-06,1,1163,1163,North America,returned
261,2004,114,2024-04-04,3,205,615,Asia Pacific,completed
262,2735,144,2023-09-23,2,91,182,North America,completed
263,767,186,2023-10-25,4,15,60,Europe,shipped
264,2342,47,2023-10-15,1,204,204,Latin America,returned
265,428,48,2024-03-06,3,51,153,North America,completed
266,3324,196,2023-02-04,3,31,93,Latin America,completed
267,2598,179,2023-02-21,5,27,135,North America,completed
268,995,7,2024-05-10,2,251,502,North America,returned
269,2322,184,2024-04-07,4,40,160,Europe,returned
270,1265,11,2023-12-15,5,505,2525,Europe,processing
271,946,4,2023-06-07,2,551,1102,Asia Pacific,shipped
272,4559,93,2024-03-24,3,194,582,North America,processing
273,4517,69,2023-01-25,2,230,460,Europe,completed
274,4483,116,2024-11-07,4,209,836,Latin America,completed
275,3212,187,2023-06-22,1,41,41,Asia Pacific,shipped
276,3240,121,2023-08-24,4,251,1004,North America,completed
277,413,88,2024-02-24,1,245,245,Asia Pacific,shipped
278,3031,71,2024-02-28,2,78,156,North America,completed
279,781,123,2024-11-25,4,71,284,North America,completed
280,3312,108,2023-02-12,5,125,625,North America,completed
281,3525,170,2024-07-26,3,34,102,North America,shipped
282,3026,134,2023-10-25,4,33,132,Latin America,completed
283,245,67,2023-02-16,3,144,432,North America,completed
284,1501,39,2023-11-09,2,525,1050,Asia Pacific,completed
285,519,80,2024-07-17,4,224,896,Asia Pacific,processing
286,1071,77,2023-01-06,5,124,620,North America,completed
287,241,97,2024-03-26,2,84,168,Asia Pacific,completed
288,136,188,2023-11-18,3,34,102,North America,returned
289,368,162,2024-06-05,4,22,88,Latin America,shipped
290,1473,144,2023-02-01,4,91,364,Asia Pacific,completed
291,3314,104,2023-01-15,3,281,843,Asia Pacific,returned
292,1664,57,2023-11-15,4,242,968,North America,completed
293,3219,111,2023-09-20,5,264,1320,Asia Pacific,processing
294,995,100,2023-09-23,4,203,812,Europe,completed
295,1517,183,2024-11-29,5,44,220,Europe,completed
296,337,10,2023-08-05,5,956,4780,Europe,completed
297,1859,200,2023-12-12,3,39,117,Latin America,shipped
298,741,200,2023-08-22,5,39,195,Europe,completed
299,197,191,2023-07-11,1,17,17,Latin America,completed
300,4231,61,2024-07-11,1,209,209,Asia Pacific,completed
301,2114,54,2023-04-01,4,223,892,North America,shipped
302,1393,59,2024-03-29,4,296,1184,Europe,completed
303,211,98,2024-09-10,5,193,965,Latin America,completed
304,4373,90,2024-05-08,5,292,1460,Asia Pacific,shipped
305,582,108,2024-04-25,2,125,250,Latin America,completed
306,3046,30,2023-02-11,2,961,1922,Latin America,completed
307,1787,18,2023-08-04,1,176,176,Europe,completed
308,100,113,2023-08-12,3,223,669,Latin America,shipped
309,4408,194,2024-11-30,3,13,39,Europe,shipped
310,820,12,2023-11-13,2,1988,3976,Latin America,completed
311,2457,169,2023-09-28,2,24,48,North America,completed
312,3916,79,2024-09-21,5,276,1380,Asia Pacific,completed
313,4939,137,2023-10-18,2,248,496,Asia Pacific,completed
314,2776,147,2024-12-03,5,260,1300,Asia Pacific,returned
315,2607,182,2024-12-26,3,26,78,North America,completed
316,524,32,2023-10-21,4,1137,4548,Asia Pacific,completed
317,2588,154,2023-04-10,2,250,500,Latin America,completed
318,933,92,2023-10-12,5,102,510,North America,completed
319,3860,103,2023-01-20,2,167,334,Asia Pacific,shipped
320,3689,166,2024-02-11,2,28,56,Latin America,returned
321,4577,71,2023-12-05,4,78,312,North America,completed
322,4062,150,2024-08-03,1,274,274,Asia Pacific,completed
323,272,91,2023-03-28,5,298,1490,Latin America,completed
324,1577,78,2024-01-08,4,123,492,North America,completed
325,2007,64,2024-09-12,4,59,236,Europe,completed
326,1244,12,2024-10-25,5,1988,9940,Asia Pacific,returned
327,3484,95,2023-11-29,4,31,124,Europe,returned
328,151,150,2023-06-11,1,274,274,North America,completed
329,4948,146,2024-03-31,4,34,136,Latin America,processing
330,365,73,2023-11-02,5,195,975,Europe,completed
331,2999,53,2024-10-22,3,107,321,Europe,completed
332,901,132,2023-07-09,3,91,273,Asia Pacific,returned
333,4310,15,2023-02-17,1,736,736,Asia Pacific,completed
334,419,90,2023-10-02,1,292,292,Asia Pacific,shipped
335,4959,119,2023-10-09,1,138,138,Asia Pacific,completed
336,1867,160,2023-04-13,5,264,1320,Asia Pacific,returned
337,4706,80,2023-07-16,5,224,1120,Asia Pacific,processing
338,112,145,2024-10-05,3,133,399,Europe,completed
339,571,135,2023-02-09,4,209,836,North America,returned
340,3651,71,2023-06-17,2,78,156,Latin America,shipped
341,615,193,2024-07-01,2,37,74,North America,completed
342,2896,166,2023-07-02,2,28,56,Asia Pacific,shipped
343,2053,167,2023-01-19,1,31,31,North America,returned
344,3846,164,2024-10-16,4,19,76,Latin America,completed
345,2743,153,2024-03-03,3,277,831,Europe,completed
346,2249,119,2024-10-15,1,138,138,North America,shipped
347,729,110,2023-05-28,3,215,645,Europe,returned
348,1208,154,2023-07-01,5,250,1250,North America,completed
349,4460,41,2024-08-08,4,249,996,Latin America,shipped
350,884,8,2023-07-26,4,1697,6788,Asia Pacific,completed
351,633,1,2024-06-09,1,50,50,Asia Pacific,returned
352,2160,68,2024-08-11,3,155,465,North America,completed
353,2171,168,2023-12-01,2,30,60,Latin America,completed
354,3032,194,2023-01-17,5,13,65,North America,shipped
355,76,169,2024-02-21,2,24,48,North America,processing
356,129,110,2024-08-24,3,215,645,Asia Pacific,completed
357,3341,27,2023-06-28,1,1969,1969,Europe,completed
358,172,115,2024-11-17,3,182,546,Europe,shipped
359,681,80,2023-04-24,2,224,448,Asia Pacific,completed
360,92,12,2024-05-31,5,1988,9940,Europe,shipped
361,1604,34,2024-02-05,4,921,3684,Europe,completed
362,2636,53,2023-05-16,5,107,535,Latin America,completed
363,1281,129,2024-02-22,3,69,207,Latin America,completed
364,3866,117,2024-01-15,5,159,795,Latin America,completed
365,3865,62,2024-02-19,1,52,52,Europe,completed
366,4542,9,2024-12-14,3,1101,3303,Europe,completed
367,4120,41,2024-09-19,2,249,498,North America,returned
368,1662,82,2023-10-06,1,266,266,Europe,completed
369,4462,116,2023-06-18,2,209,418,Asia Pacific,completed
370,1164,142,2024-11-11,1,255,255,North America,completed
371,4882,52,2023-02-23,1,126,126,Latin America,processing
372,3270,122,2023-02-05,3,16,48,Latin America,completed
373,1154,147,2023-05-30,3,260,780,Asia Pacific,completed
374,4134,8,2024-02-03,2,1697,3394,Asia Pacific,completed
375,2199,88,2023-08-19,3,245,735,North America,completed
376,3963,37,2024-07-03,1,921,921,Asia Pacific,shipped
377,1044,120,2023-07-27,4,140,560,Europe,shipped
378,4681,129,2023-03-06,4,69,276,Latin America,shipped
379,2229,153,2023-12-06,3,277,831,Europe,processing
380,1078,43,2024-11-15,4,127,508,Europe,completed
381,4688,7,2023-06-01,3,251,753,Asia Pacific,completed
382,3455,1,2024-02-21,2,50,100,North America,shipped
383,3375,20,2024-03-31,1,1418,1418,Asia Pacific,processing
384,1982,109,2023-06-21,1,210,210,Europe,completed
385,3339,95,2024-03-14,3,31,93,Latin America,shipped
386,2978,99,2024-12-01,2,246,492,Asia Pacific,completed
387,3224,8,2024-01-07,1,1697,1697,North America,shipped
388,2343,13,2023-09-22,4,1163,4652,Europe,completed
389,296,92,2023-04-19,5,102,510,Latin America,returned
390,960,177,2023-09-08,5,35,175,North America,completed
391,4384,18,2024-01-17,4,176,704,Asia Pacific,completed
392,2029,38,2023-06-29,2,885,1770,Latin America,completed
393,1630,196,2024-04-09,1,31,31,North America,shipped
394,4632,154,2024-12-18,3,250,750,North America,shipped
395,4065,68,2024-12-24,5,155,775,Asia Pacific,returned
396,3665,86,2023-06-09,2,170,340,Europe,completed
397,3518,197,2023-09-04,3,15,45,Asia Pacific,completed
398,2504,27,2024-08-02,5,1969,9845,Asia Pacific,shipped
399,2139,139,2023-04-01,5,91,455,North America,processing
400,2233,146,2024-02-06,4,34,136,North America,completed
401,4989,165,2023-11-29,4,16,64,North America,returned
402,4353,143,2024-12-15,4,17,68,Asia Pacific,completed
403,1125,164,2023-10-24,4,19,76,Europe,completed
404,4327,101,2023-01-02,3,84,252,Europe,completed
405,3411,200,2024-04-04,4,39,156,Latin America,completed
406,4460,14,2024-05-20,2,721,1442,Asia Pacific,completed
407,4735,41,2024-07-12,1,249,249,Europe,shipped
408,1185,88,2024-12-24,3,245,735,Latin America,completed
409,4081,98,2024-07-12,2,193,386,Latin America,returned
410,3132,136,2023-04-01,3,235,705,Asia Pacific,shipped
411,2275,192,2023-03-14,4,10,40,Asia Pacific,returned
412,3866,200,2023-05-21,4,39,156,North America,returned
413,2519,40,2024-07-12,1,1875,1875,North America,completed
414,122,131,2023-09-24,3,268,804,Europe,completed
415,1875,169,2024-10-16,1,24,24,Latin America,processing
416,2744,15,2024-12-11,2,736,1472,Asia Pacific,shipped
417,484,192,2024-03-03,3,10,30,North America,returned
418,3714,137,2023-06-24,1,248,248,Asia Pacific,completed
419,2070,34,2023-12-05,3,921,2763,North America,completed
420,614,62,2024-11-06,2,52,104,Europe,completed
421,4683,84,2024-08-26,5,268,1340,North America,completed
422,4075,47,2023-02-21,3,204,612,Asia Pacific,completed
423,1006,107,2024-04-07,1,124,124,Europe,returned
424,2953,21,2024-01-27,3,1992,5976,Latin America,completed
425,4987,1,2023-12-18,1,50,50,Latin America,returned
426,2335,153,2024-07-25,5,277,1385,Europe,completed
427,3571,112,2024-04-19,4,234,936,Latin America,shipped
428,4983,190,2023-02-05,3,13,39,Latin America,completed
429,3473,180,2024-11-13,4,15,60,Asia Pacific,completed
430,1104,8,2023-07-02,3,1697,5091,Europe,processing
431,483,10,2023-04-10,4,956,3824,Europe,shipped
432,1360,175,2023-10-10,2,24,48,Europe,processing
433,599,112,2023-02-09,3,234,702,North America,processing
434,1388,102,2023-03-05,2,187,374,North America,completed
435,1708,69,2024-02-11,2,230,460,Latin America,completed
436,2401,140,2024-02-14,4,224,896,Europe,completed
437,2845,137,2023-09-22,5,248,1240,North America,shipped
438,4670,35,2023-10-02,3,172,516,Europe,processing
439,2015,68,2023-02-04,3,155,465,Europe,completed
440,3273,25,2023-01-07,1,1293,1293,Asia Pacific,completed
441,73,50,2023-04-21,1,222,222,Europe,returned
442,3901,157,2024-01-19,2,271,542,North America,completed
443,3221,113,2023-12-22,5,223,1115,Latin America,shipped
444,50,95,2023-03-13,2,31,62,North America,returned
445,3904,173,2023-03-25,4,43,172,Latin America,processing
446,1346,194,2023-03-02,3,13,39,Asia Pacific,processing
447,4127,14,2023-05-16,2,721,1442,Asia Pacific,returned
448,698,178,2023-11-15,5,15,75,Europe,completed
449,1250,135,2023-09-01,1,209,209,North America,completed
450,1780,72,2024-11-14,1,200,200,Latin America,processing
451,160,119,2024-05-10,2,138,276,Asia Pacific,completed
452,2279,38,2023-11-07,3,885,2655,Latin America,completed
453,3666,134,2024-02-17,3,33,99,North America,completed
454,1433,195,2023-03-13,4,40,160,North America,completed
455,3343,196,2023-06-12,1,31,31,Asia Pacific,completed
456,2616,62,2023-01-29,2,52,104,North America,shipped
457,4068,123,2023-10-23,4,71,284,North America,shipped
458,1809,88,2023-10-24,3,245,735,Europe,completed
459,642,154,2024-09-17,1,250,250,North America,processing
460,1157,155,2024-06-16,5,92,460,North America,completed
461,1578,8,2024-08-24,3,1697,5091,Europe,completed
462,3131,5,2023-03-07,2,1806,3612,Europe,completed
463,3754,140,2024-11-28,3,224,672,North America,completed
464,2548,155,2024-05-06,3,92,276,North America,completed
465,4151,111,2023-09-08,4,264,1056,Asia Pacific,processing
466,3274,39,2024-11-01,2,525,1050,North America,processing
467,3741,34,2024-09-24,1,921,921,Asia Pacific,processing
468,4199,137,2024-11-16,5,248,1240,Latin America,completed
469,783,60,2024-12-25,2,207,414,Europe,completed
470,2734,147,2024-09-30,5,260,1300,Latin America,completed
471,3550,77,2024-04-07,4,124,496,Asia Pacific,completed
472,1578,77,2023-10-24,2,124,248,Asia Pacific,completed
473,4581,159,2023-10-29,4,64,256,Europe,returned
474,3360,128,2023-10-06,4,77,308,Latin America,shipped
475,583,109,2024-03-21,3,210,630,Latin America,completed
476,201,161,2023-10-16,5,15,75,North America,completed
477,1579,172,2023-04-14,1,11,11,Europe,completed
478,124,185,2024-12-23,1,20,20,Europe,returned
479,4108,17,2023-01-08,4,935,3740,North America,completed
480,4413,107,2024-01-14,4,124,496,Asia Pacific,completed
481,1161,193,2024-12-04,2,37,74,North America,completed
482,3615,32,2023-09-14,2,1137,2274,Latin America,processing
483,4576,165,2023-05-30,4,16,64,Latin America,completed
484,1132,28,2023-04-14,1,567,567,North America,shipped
485,3634,57,2024-03-24,5,242,1210,Asia Pacific,completed
486,3359,165,2024-07-16,3,16,48,Europe,completed
487,1679,101,2023-12-10,5,84,420,Asia Pacific,completed
488,2950,170,2023-06-16,1,34,34,Latin America,processing
489,3410,181,2024-09-25,2,36,72,North America,shipped
490,14,92,2024-08-12,1,102,102,Latin America,completed
491,2528,172,2024-07-14,3,11,33,Latin America,completed
492,2131,25,2023-08-06,1,1293,1293,Asia Pacific,completed
